Kecamatan;Distribusi Penduduk Menurut Kecamatan di Kabupaten Wonosobo (Jiwa);;
;2019;2020;2021
Wadaslintang;52421;60502;61078
Kepil;57297;64478;64933
Sapuran;57095;61209;61584
Kalibawang;22709;27101;27447
Kaliwiro;44849;51824;52323
Leksono;41445;46186;46635
Sukoharjo;33476;35459;35672
Selomerto;47549;53516;54097
Kalikajar;58613;70302;71236
Kertek;80413;90207;91095
Wonosobo;90148;91909;92293
Watumalang;49528;55765;56161
Mojotengah;61798;67481;68028
Garung;49782;56988;57584
Kejajar;43368;46197;46447
;;;
;;;
;;;
;;;
